LOAD kn,STRAIN1 mm
0.422275,0.039687
0.420237,0.039625
0.426608,0.039962
0.428808,0.039925
0.425792,0.040054
0.430018,0.040075
0.424129,0.04012
0.43264,0.040305
0.42755,0.040257
0.432658,0.040314
0.423604,0.040209
0.436908,0.040436
0.433105,0.040612
0.440133,0.040727
0.441372,0.040813
0.444931,0.040904
0.448513,0.041036
0.449479,0.041193
0.461709,0.041391
0.454897,0.041528
0.468749,0.041873
0.460553,0.041904
0.473398,0.042036
0.462389,0.041978
0.468379,0.042194
0.463718,0.042154
0.469071,0.042238
0.464922,0.042066
0.463808,0.04225
0.465727,0.042263
0.461572,0.042189
0.470442,0.0423
0.460368,0.042182
0.471294,0.042534
0.465578,0.042438
0.477129,0.042559
0.47332,0.042606
0.482064,0.042842
0.483787,0.042974
0.489855,0.043189
0.494462,0.043426
0.487995,0.043229
0.496203,0.043529
0.484371,0.04347
0.497442,0.043703
0.48821,0.043587
0.498122,0.043743
0.489831,0.043701
0.49684,0.043722
0.492775,0.043751
0.497508,0.043966
0.500202,0.043883
0.506341,0.044144
0.514811,0.044534
0.515485,0.044581
0.524664,0.044883
0.514281,0.044831
0.524694,0.044916
0.51589,0.044901
0.525063,0.045183
0.518823,0.045099
0.526702,0.045319
0.519252,0.045095
0.521135,0.045281
0.524455,0.045232
0.52011,0.04529
0.524485,0.045457
0.520408,0.045405
0.534672,0.045584
0.531685,0.045731
0.546962,0.046053
0.538433,0.046095
0.548106,0.046264
0.542444,0.04618
0.547063,0.046192
0.543761,0.046363
0.544643,0.046406
0.546306,0.04635
0.543827,0.046417
0.550467,0.046592
0.544822,0.046484
0.554276,0.046705
0.547385,0.046725
0.564587,0.046886
0.556272,0.04688
0.564766,0.047295
0.563413,0.047151
0.561833,0.047298
0.563776,0.047228
0.561321,0.047239
0.568193,0.047481
0.562447,0.047501
0.572062,0.04769
0.571257,0.047727
0.581437,0.047888
0.572151,0.047883
0.581843,0.048122
0.578314,0.047954
0.583023,0.048079
0.578898,0.048133
0.580245,0.048246
0.590122,0.048409
0.589389,0.04852
0.595862,0.048621
0.588042,0.048747
0.601929,0.048917
0.594121,0.048921
0.602883,0.049058
0.59346,0.048953
0.604242,0.049207
0.600421,0.049207
0.602806,0.049153
0.599539,0.049213
0.599265,0.049272
0.60575,0.049392
0.601304,0.049368
0.611955,0.049543
0.604737,0.049577
0.616699,0.049626
0.606543,0.049652
0.623065,0.050034
0.615031,0.049984
0.628114,0.050237
0.621533,0.050356
0.623858,0.050293
0.624716,0.050259
0.624728,0.050307
0.630379,0.050494
0.624186,0.050578
0.635052,0.050706
0.63163,0.050626
0.643033,0.050895
0.635362,0.05086
0.644755,0.051164
0.638044,0.051171
0.646037,0.051278
0.646544,0.051437
0.647354,0.05145
0.652319,0.051722
0.654,0.051659
0.661659,0.051976
0.652462,0.051939
0.663882,0.052184
0.65496,0.052077
0.671697,0.052342
0.663048,0.052377
0.67265,0.052525
0.664806,0.052426
0.674134,0.052597
0.677025,0.052689
0.677377,0.052816
0.681669,0.052805
0.676763,0.053081
0.687993,0.053185
0.678957,0.053242
0.68959,0.053465
0.680983,0.053387
0.692374,0.053486
0.685126,0.053475
0.69291,0.053626
0.692058,0.05361
0.697392,0.053776
0.699121,0.053893
0.693929,0.053983
0.702757,0.053992
0.698441,0.054072
0.708079,0.054212
0.700188,0.0541
0.710177,0.054377
0.701714,0.054222
0.711495,0.054558
0.708371,0.054599
0.719297,0.054756
0.717783,0.054884
0.724971,0.054977
0.733012,0.055412
0.726676,0.055409
0.732094,0.055419
0.724936,0.05539
0.735873,0.055705
0.726014,0.055515
0.732267,0.055739
0.724941,0.055591
0.735044,0.05572
0.730348,0.055765
0.736135,0.055867
0.740141,0.055926
0.737673,0.05595
0.744158,0.05614
0.740582,0.056247
0.749969,0.056325
0.7424,0.056254
0.753814,0.056396
0.744659,0.056473
0.756592,0.056574
0.75587,0.056697
0.761819,0.056844
0.761497,0.056852
0.767404,0.057132
0.772703,0.057266
0.770259,0.057353
0.77697,0.057521
0.768042,0.057456
0.773197,0.057621
0.766069,0.057589
0.77759,0.057755
0.770324,0.057659
0.782931,0.057871
0.779629,0.057873
0.788063,0.058099
0.793314,0.058257
0.790417,0.058266
0.794071,0.058385
0.784975,0.058379
0.791872,0.05859
0.785714,0.058428
0.795579,0.058577
0.790274,0.058599
0.801444,0.058723
0.7963,0.058742
0.806928,0.058976
0.806999,0.059101
0.807327,0.059206
0.814074,0.059279
0.810653,0.059369
0.822008,0.059559
0.816119,0.059729
0.823492,0.059761
0.816494,0.059733
0.819182,0.0599
0.816083,0.059797
0.822556,0.059924
0.816846,0.059879
0.81979,0.060021
0.817943,0.059848
0.818992,0.059996
0.82798,0.06009
0.822556,0.060091
0.834304,0.060234
0.823814,0.060269
0.833583,0.060517
0.827557,0.060409
0.841618,0.060606
