LOAD kn,STRAIN1 mm
0.301719,0.030167
0.300241,0.030277
0.301957,0.030583
0.306559,0.030631
0.307679,0.030721
0.303209,0.030677
0.313497,0.030883
0.308865,0.030948
0.307351,0.030953
0.312012,0.031085
0.315702,0.031306
0.311273,0.031162
0.311631,0.031254
0.322455,0.031361
0.320083,0.031566
0.314444,0.03158
0.324005,0.031796
0.327551,0.031838
0.321883,0.031928
0.326043,0.032055
0.328577,0.032177
0.323546,0.03209
0.325227,0.032231
0.332624,0.032353
0.332367,0.032303
0.327033,0.032403
0.335449,0.032516
0.338167,0.032463
0.328022,0.032452
0.332147,0.03252
0.340617,0.032736
0.339872,0.032787
0.338823,0.032995
0.348538,0.033297
0.349784,0.03339
0.344723,0.033449
0.352597,0.033573
0.360489,0.033777
0.355148,0.033764
0.356919,0.033948
0.368023,0.03426
0.363743,0.034236
0.36248,0.034404
0.367844,0.034526
0.370789,0.034583
0.362372,0.034456
0.364709,0.034598
0.37232,0.034692
0.368243,0.034723
0.360548,0.034751
0.369191,0.034799
0.370789,0.034842
0.36608,0.034803
0.36869,0.034907
0.374794,0.034946
0.367898,0.034888
0.369841,0.035004
0.375569,0.035091
0.376791,0.035247
0.376135,0.035278
0.384355,0.035533
0.390273,0.035563
0.38113,0.035675
0.385153,0.035805
0.395852,0.035936
0.38833,0.035939
0.388694,0.036063
0.39531,0.036137
0.392884,0.036238
0.38951,0.036187
0.395876,0.036491
0.403917,0.036552
0.393784,0.036528
0.399578,0.036614
0.406557,0.036862
0.403112,0.036869
0.397158,0.036839
0.406545,0.037149
0.411266,0.037157
0.404572,0.037095
0.412172,0.037395
0.417107,0.0375
0.414431,0.037347
0.412995,0.037616
0.425249,0.037888
0.423509,0.037917
0.421709,0.038092
0.425977,0.03815
0.427788,0.038175
0.42606,0.038246
0.429529,0.038357
0.433969,0.038499
0.431967,0.038601
0.430471,0.038493
0.436145,0.038715
0.437486,0.038773
0.430965,0.038718
0.432986,0.038828
0.442421,0.038957
0.436282,0.038964
0.438821,0.039089
0.453049,0.039406
0.449371,0.039355
0.447255,0.039437
0.45532,0.039683
0.457174,0.039788
0.453186,0.039817
0.458008,0.039854
0.463772,0.039983
0.457513,0.039952
0.459623,0.04016
0.469095,0.040528
0.472182,0.040322
0.465816,0.040414
0.467807,0.040693
0.472486,0.040728
0.467873,0.040745
0.470698,0.040783
0.476027,0.04087
0.472605,0.040789
0.471675,0.040921
0.482231,0.041117
0.485307,0.041263
0.474221,0.041196
0.479501,0.041346
0.48486,0.041384
0.483465,0.041427
0.481004,0.041481
0.491893,0.041767
0.491983,0.041821
0.490761,0.041905
0.497514,0.04202
0.49988,0.042031
0.495082,0.042165
0.494915,0.042209
0.501424,0.042437
0.50137,0.042366
0.497335,0.042383
0.506473,0.042586
0.506508,0.042647
0.506353,0.042759
0.509131,0.042884
0.514793,0.043049
0.511003,0.04314
0.510401,0.043041
0.519609,0.043247
0.517839,0.043278
0.515544,0.043411
0.524062,0.043699
0.528699,0.043766
0.52461,0.043803
0.523919,0.04382
0.530773,0.044033
0.529498,0.043949
0.525302,0.044059
0.534207,0.04428
0.53525,0.044223
0.530571,0.044121
0.532848,0.044333
0.53851,0.044397
0.535488,0.044336
0.531703,0.044391
0.539577,0.044467
0.539285,0.044597
0.537872,0.044536
0.547796,0.044884
0.555569,0.045089
0.552213,0.045159
0.55781,0.045434
0.568229,0.045807
0.563854,0.045765
0.55843,0.045696
0.565821,0.045903
0.562418,0.04593
0.556535,0.045823
0.561804,0.046013
0.566995,0.046082
0.560522,0.046059
0.564367,0.046016
0.56951,0.046212
0.568163,0.046286
0.565934,0.046238
0.57435,0.046384
0.573111,0.046402
0.569886,0.046344
0.57162,0.046442
0.580657,0.046494
0.576019,0.046545
0.573939,0.04654
0.586534,0.046843
0.585955,0.046838
0.584292,0.046969
0.599277,0.047421
0.60395,0.047854
0.599396,0.047935
0.605762,0.047988
0.607097,0.048111
0.603002,0.047913
0.600004,0.048018
0.60724,0.048069
0.606781,0.048095
0.601536,0.048089
0.608647,0.048281
0.618404,0.048411
0.608552,0.048357
0.614089,0.048416
0.617999,0.048475
0.612897,0.048445
0.608069,0.048472
0.613743,0.048689
0.618303,0.048626
0.61298,0.048658
0.617701,0.048735
0.624305,0.048859
0.619811,0.048953
0.621063,0.048932
0.633121,0.049278
0.634617,0.049397
0.636083,0.049406
0.644517,0.049936
0.649011,0.050032
0.646287,0.05006
0.647789,0.050226
0.653315,0.050349
0.645673,0.050223
0.640202,0.050264
0.651467,0.050219
0.648922,0.050329
0.644916,0.050289
0.649291,0.050457
0.654584,0.050485
0.651991,0.050544
0.652003,0.050512
0.664705,0.050619
0.664622,0.050846
0.66219,0.051035
0.672412,0.051269
0.676662,0.051417
0.676197,0.051452
0.677991,0.051845
0.686753,0.051799
0.682163,0.051938
0.677824,0.051902
0.687248,0.051949
0.685215,0.052029
0.679803,0.052079
0.688261,0.052299
0.694442,0.052419
0.688767,0.052376
0.690281,0.052413
0.700468,0.052662
0.696969,0.052684
0.696945,0.052734
0.704223,0.052912
0.706297,0.05291
0.698102,0.053007
0.703931,0.053077
0.711,0.053232
0.70675,0.053251
0.706869,0.053237
0.718147,0.053525
0.715601,0.053482
0.712085,0.053553
0.716472,0.053663
0.721788,0.053683
0.715286,0.05375
0.719607,0.053892
0.727403,0.053899
0.722271,0.053919
0.721478,0.053945
0.728261,0.054216
0.730973,0.054139
0.725549,0.054226
0.733125,0.054431
0.739896,0.054618
0.733459,0.054519
0.735933,0.054696
0.743967,0.054752
0.742519,0.054934
0.73843,0.054935
0.747293,0.055
0.75103,0.055122
0.741941,0.055046
0.748116,0.055282
0.754637,0.055288
0.750154,0.055408
0.748622,0.055297
0.756729,0.055571
0.749546,0.055495
0.750011,0.055499
0.757581,0.055674
0.762498,0.055843
0.757718,0.055826
0.765914,0.055941
0.77706,0.056225
0.770497,0.056456
0.773996,0.056518
0.788164,0.05693
0.790203,0.056933
0.78426,0.057024
0.790119,0.057337
0.794727,0.057515
0.793076,0.057446
0.795823,0.057527
0.804877,0.05785
0.794983,0.057791
0.794154,0.057701
0.80179,0.057893
0.804216,0.05802
0.799203,0.057938
0.808603,0.058102
0.813448,0.058277
0.810939,0.058329
0.808758,0.058427
0.820774,0.058527
0.819415,0.058621
0.817108,0.058711
0.825804,0.058927
0.832045,0.059122
0.830173,0.059177
0.8322,0.059534
0.835073,0.059425
0.82798,0.059328
0.826722,0.059429
0.836259,0.059673
0.832081,0.0596
0.826478,0.059615
0.831771,0.059663
0.835782,0.059741
0.824779,0.059566
0.827175,0.059677
0.836676,0.05957
0.826281,0.059644
0.823051,0.059511
0.836056,0.059783
0.838971,0.059867
0.833964,0.059884
0.845295,0.060029
0.854611,0.060359
0.851691,0.06027
0.857347,0.06059
0.865936,0.06086
0.867176,0.06085
0.859165,0.060908
0.864029,0.060996
0.866622,0.061157
0.8623,0.061013
0.86782,0.061204
0.873482,0.061383
0.867653,0.061332
0.870723,0.061544
0.879639,0.061635
0.87468,0.061615
0.871384,0.061578
0.878072,0.06179
0.883186,0.061841
0.879496,0.061907
0.876266,0.061917
0.886953,0.062021
0.887108,0.0621
0.879067,0.06206
0.892013,0.062269
0.890958,0.062326
0.886089,0.06236
0.886053,0.062367
0.894588,0.062452
0.891703,0.06248
0.894195,0.062524
0.90341,0.062786
0.90248,0.06288
0.903171,0.062967
0.914711,0.063272
0.919276,0.063456
0.914592,0.063567
0.917184,0.0637
0.925708,0.063844
0.917792,0.063839
0.915033,0.06377
0.92085,0.063977
0.919127,0.063813
0.913823,0.063913
0.919265,0.064059
0.923055,0.063972
0.917715,0.064057
0.924128,0.064089
0.929242,0.064334
0.933647,0.064244
0.932246,0.064468
0.948656,0.064801
0.951904,0.065081
0.942993,0.065119
0.947386,0.065188
0.952762,0.065226
0.949097,0.065288
0.947958,0.065296
0.955904,0.065409
0.954932,0.065466
0.950879,0.065443
0.956142,0.065583
0.964719,0.065799
0.96069,0.065699
0.96305,0.065806
0.970972,0.066057
0.965971,0.065988
0.960368,0.066051
0.971884,0.06612
0.970352,0.066173
0.965106,0.066019
0.971788,0.066281
0.976741,0.06634
0.968719,0.066149
0.9754,0.066356
0.989825,0.066617
0.991619,0.066784
0.989079,0.06705
0.998044,0.067179
0.998437,0.067286
0.99234,0.067206
0.997287,0.067436
1.004153,0.067557
1.000565,0.067621
1.000053,0.067621
1.013619,0.067832
1.00829,0.067874
1.000804,0.067801
1.006615,0.067951
1.012629,0.068039
1.004142,0.068064
1.012474,0.068133
1.024061,0.068261
1.021254,0.068261
1.018834,0.06854
1.031101,0.068802
1.030111,0.068697
1.026374,0.068765
1.033932,0.068971
1.03389,0.068953
1.030153,0.068886
1.032388,0.069144
1.038218,0.069204
1.036227,0.069056
1.038706,0.069198
1.046777,0.069511
1.04785,0.069511
1.042694,0.069441
1.048362,0.069676
1.055431,0.069848
1.051509,0.069829
1.047343,0.069798
1.057422,0.069959
1.052773,0.069946
1.044744,0.069867
1.050937,0.069945
1.053596,0.070074
1.04534,0.070032
1.05269,0.070075
1.068628,0.070441
1.071525,0.070458
1.069611,0.070664
1.080906,0.070994
1.076615,0.070922
1.071477,0.070902
1.077944,0.071075
1.084244,0.071222
1.074255,0.071217
1.077598,0.071294
1.08754,0.071434
1.084816,0.07138
1.081461,0.071427
1.091146,0.071524
1.092231,0.071613
1.086378,0.07161
1.091093,0.071656
1.102233,0.071875
1.098043,0.072031
1.09818,0.071961
1.105231,0.072221
1.105481,0.072337
1.108724,0.072329
1.118147,0.072767
1.122177,0.072863
1.11326,0.072903
1.121414,0.073023
1.129055,0.073279
1.126319,0.073312
1.120299,0.073319
1.127774,0.073397
1.125455,0.073362
1.11903,0.073375
1.126492,0.073535
1.131225,0.073529
1.127887,0.073673
1.135159,0.073737
1.144898,0.073971
1.14997,0.074146
1.146477,0.074208
1.153064,0.074552
1.153517,0.074479
1.14823,0.074494
1.154327,0.074545
1.157004,0.074664
1.151669,0.07476
1.157922,0.074723
1.167005,0.074874
1.163095,0.074993
1.157486,0.075038
1.165867,0.075013
1.168263,0.075057
1.161343,0.07512
1.170337,0.075501
1.176906,0.075424
1.174933,0.075404
1.17678,0.075486
1.183444,0.075823
1.182503,0.075786
1.178414,0.075864
1.190281,0.075964
1.192695,0.076135
1.183772,0.076138
1.187682,0.07628
1.192486,0.076459
1.195502,0.076418
1.199096,0.07656
1.212835,0.076851
1.212806,0.076968
1.206124,0.076897
1.211083,0.07706
1.212287,0.077186
1.20464,0.077219
1.205039,0.077188
1.216066,0.077385
1.209462,0.077431
1.207393,0.07735
1.223737,0.077652
1.22174,0.077534
1.214796,0.077427
1.221907,0.077636
1.228821,0.077899
1.224673,0.077939
1.227754,0.078024
1.234549,0.078102
1.236367,0.0781
1.235521,0.078167
1.246113,0.07852
1.248395,0.078629
1.24104,0.078574
1.243079,0.078821
1.246542,0.078748
1.241434,0.078712
1.239568,0.078832
1.250488,0.079092
1.25609,0.078988
1.251954,0.079106
1.265407,0.079362
1.272655,0.079578
1.264066,0.079568
1.260602,0.079569
1.271009,0.0797
1.262349,0.079609
1.253223,0.079585
1.263201,0.079707
1.266134,0.079787
1.262975,0.07971
1.265639,0.079779
1.273739,0.08002
1.264054,0.079828
1.268417,0.079811
1.278067,0.080007
1.27638,0.080197
1.275152,0.080209
1.28445,0.080306
1.292974,0.080477
1.287955,0.080542
1.293892,0.080748
1.302958,0.081021
1.295906,0.081
1.293021,0.08097
1.298296,0.081083
1.300794,0.081007
1.295751,0.08112
1.304132,0.081272
1.306522,0.081338
1.300156,0.081386
1.307303,0.081413
1.317239,0.081589
1.314259,0.081594
1.312268,0.081886
1.319212,0.081906
1.320565,0.081934
1.313478,0.081883
1.319802,0.082112
1.324469,0.082197
1.317608,0.08205
1.319408,0.082227
1.324916,0.082193
1.330209,0.082304
1.330048,0.082427
1.338714,0.082736
1.341546,0.082836
1.336449,0.082862
1.341468,0.082951
1.350886,0.08315
1.345474,0.083234
1.345003,0.08325
1.351917,0.083423
1.348668,0.083382
1.343209,0.083307
1.348889,0.083476
1.353389,0.083532
1.346123,0.083486
1.351446,0.083676
1.363796,0.083757
1.356059,0.083785
1.355565,0.083791
1.365399,0.084016
1.372236,0.084116
1.372129,0.084189
1.382929,0.084471
1.390964,0.084626
1.385903,0.08478
1.381516,0.084992
1.387137,0.084936
1.383638,0.085124
1.378232,0.085055
1.386511,0.085105
1.393151,0.085315
1.387984,0.085148
1.394731,0.085288
1.400971,0.085494
1.395178,0.085483
1.395798,0.085523
1.408571,0.085777
1.411301,0.085926
1.408511,0.08603
1.41589,0.086149
1.421291,0.086224
1.414412,0.086298
1.41378,0.086357
1.422787,0.086496
1.419479,0.086422
1.420766,0.086576
1.429552,0.086861
1.42898,0.086732
1.427102,0.086831
1.43109,0.086893
1.43798,0.087079
1.430464,0.087105
1.435381,0.087195
1.44794,0.087407
1.447988,0.087535
1.442069,0.087599
1.452112,0.087802
1.459479,0.087974
1.452208,0.087852
1.45455,0.088028
1.459563,0.088138
1.456767,0.088077
1.45368,0.088065
1.459813,0.088275
1.456612,0.088293
1.453447,0.088339
1.462263,0.088415
1.467019,0.088482
1.461422,0.088461
1.465529,0.088569
1.477963,0.088772
1.479691,0.088951
1.482671,0.089105
1.492733,0.089361
1.492238,0.089467
1.487625,0.089442
1.49014,0.089623
1.488304,0.089652
1.482219,0.08947
1.480371,0.089549
1.491857,0.089689
1.487666,0.08979
1.48735,0.089712
1.49644,0.089928
1.504803,0.09004
1.504666,0.090032
1.504838,0.09023
1.515681,0.090351
1.508242,0.090253
1.507109,0.090449
1.5163,0.090523
1.516461,0.09062
1.509613,0.090559
1.522052,0.090868
1.526928,0.090965
1.523316,0.090885
1.523626,0.091014
1.532668,0.091158
1.532304,0.091287
1.53318,0.091347
1.545334,0.091791
1.550144,0.09192
1.543188,0.091882
1.540089,0.092109
1.54618,0.092133
1.539671,0.091967
1.535559,0.09205
1.542288,0.092099
1.540631,0.092109
1.536524,0.092145
1.544154,0.092223
1.544189,0.092271
1.541126,0.092208
1.545,0.092272
1.551527,0.092328
1.544684,0.092336
1.54447,0.092285
1.556575,0.092474
1.557881,0.092462
1.552212,0.092541
1.562762,0.092754
1.569903,0.092847
1.563323,0.092795
1.5701,0.092982
1.578754,0.093128
1.576078,0.093256
1.572996,0.093326
1.578349,0.093307
1.580948,0.093394
1.573908,0.093416
1.582599,0.093579
1.591063,0.093643
1.588666,0.093821
1.594555,0.093993
1.604581,0.094238
1.601684,0.094355
1.590186,0.094215
1.595974,0.094364
1.598835,0.094487
1.594293,0.09447
1.599473,0.094371
1.604199,0.094719
1.602554,0.094582
1.597011,0.094726
1.60985,0.094858
1.613253,0.094892
1.61112,0.094878
1.618564,0.0951
1.622796,0.095138
1.617664,0.09523
1.619816,0.095326
1.628935,0.095467
1.626545,0.09551
1.626045,0.095571
1.635176,0.095835
1.644892,0.09589
1.635349,0.09603
1.638907,0.096234
1.646489,0.096343
1.636446,0.096265
1.638591,0.096319
1.647395,0.096485
1.649535,0.096556
1.637739,0.096372
1.640767,0.096498
1.646674,0.096621
1.640469,0.096613
1.646787,0.096745
1.653606,0.096767
1.649666,0.096682
1.651382,0.096796
1.662964,0.097028
1.664543,0.097219
1.657349,0.097135
1.666826,0.097154
1.673877,0.097393
1.668972,0.097471
1.669538,0.097382
1.681316,0.097626
1.686883,0.097916
1.683205,0.09799
1.690543,0.098307
1.693422,0.098383
1.681739,0.098308
1.687318,0.098397
1.694089,0.098524
1.686829,0.098536
1.683307,0.098459
1.693386,0.098627
1.692873,0.098744
1.686579,0.098648
1.699173,0.098754
1.70368,0.098872
1.699799,0.098833
1.709461,0.099116
1.719415,0.099299
1.716346,0.099455
1.72103,0.099706
1.732606,0.09985
1.733303,0.100116
1.729023,0.100155
1.735657,0.100267
1.742083,0.100436
1.735467,0.100411
1.733184,0.100469
1.737344,0.100684
1.732564,0.100542
1.729858,0.100535
1.736611,0.100771
1.738942,0.100666
1.735419,0.100727
1.740098,0.100889
1.750356,0.101014
1.748562,0.101021
1.749426,0.101195
1.759386,0.101292
1.765907,0.101414
1.766115,0.101538
1.76934,0.101822
1.770663,0.10169
1.76264,0.101803
1.762867,0.101948
1.772839,0.102019
1.764095,0.102003
1.760811,0.101941
1.76577,0.102122
1.769948,0.102134
1.764727,0.102072
1.775324,0.102249
1.788574,0.102421
1.788098,0.102644
1.798344,0.102858
1.805478,0.102972
1.799184,0.103124
1.791704,0.103203
1.797968,0.103331
1.799506,0.103294
1.7941,0.103421
1.799047,0.10339
1.805198,0.103623
1.799577,0.103598
1.804191,0.103545
1.809293,0.103716
1.809043,0.103698
1.802582,0.103759
1.80645,0.103708
1.810902,0.103903
1.805919,0.103613
1.80971,0.10392
1.81964,0.104119
1.817095,0.104029
1.814508,0.104166
1.826227,0.104262
1.82966,0.104404
1.823127,0.104398
1.830149,0.10454
1.835418,0.104583
1.836449,0.104754
1.841629,0.104844
1.850146,0.105089
1.846629,0.105139
1.844144,0.105362
1.855314,0.105471
1.858121,0.105711
1.851267,0.105666
1.852214,0.105814
1.858753,0.105891
1.849061,0.105885
1.850092,0.105779
1.857746,0.105933
1.859528,0.105906
1.855922,0.106041
1.863778,0.106123
1.871812,0.106279
1.871091,0.106372
1.874733,0.106462
1.885128,0.10667
1.881009,0.106707
1.877224,0.106857
1.88514,0.107041
1.883829,0.107006
1.878649,0.107019
1.882029,0.107167
1.888561,0.107128
1.878941,0.107164
1.883221,0.107093
1.890892,0.107286
1.889741,0.107322
1.885343,0.107356
1.897973,0.107647
1.900971,0.107582
1.896536,0.10762
1.902282,0.107694
1.910764,0.107904
1.90658,0.107907
1.907152,0.108081
1.92219,0.10824
1.919478,0.108398
1.916224,0.10836
1.927948,0.108692
1.929444,0.108715
1.922828,0.108718
1.931834,0.108972
1.942593,0.109124
1.932156,0.109196
1.929545,0.109135
1.937962,0.109444
1.936096,0.109447
1.928765,0.109321
1.933128,0.109449
1.939023,0.109517
1.932704,0.109514
1.934022,0.109642
1.94574,0.109737
1.947862,0.109655
1.943398,0.109769
1.952469,0.109878
1.958179,0.110028
1.956272,0.110197
1.961529,0.110172
1.968676,0.110416
1.96346,0.110443
1.959157,0.110441
1.969051,0.110699
1.973611,0.110702
1.971453,0.110772
1.97922,0.111012
1.985157,0.111088
1.97764,0.111172
1.979786,0.111237
1.988298,0.111377
1.982117,0.111434
1.977056,0.111475
1.980048,0.111534
1.983273,0.111485
1.980126,0.111567
1.984996,0.111576
1.994306,0.111908
1.98949,0.111825
1.993155,0.111937
2.00702,0.112104
2.001768,0.112171
1.99706,0.112117
2.001649,0.112367
2.005953,0.11233
1.995647,0.112313
1.999205,0.112266
2.010208,0.112537
2.008665,0.112515
2.006382,0.1126
2.020788,0.112696
2.023935,0.112911
2.02412,0.113042
2.032906,0.113401
2.032989,0.113432
2.028501,0.113452
2.030015,0.113585
2.036566,0.113712
2.033383,0.113669
2.028346,0.113671
2.040279,0.113923
2.041334,0.113887
2.035308,0.11399
2.036202,0.113874
2.04289,0.114014
2.031755,0.114087
2.03197,0.114062
2.03948,0.11415
2.034855,0.114063
2.034533,0.114161
2.043265,0.114281
2.049243,0.114307
2.047211,0.114297
2.058262,0.114665
2.069998,0.114785
2.066356,0.114785
2.062976,0.114941
2.067858,0.115156
2.067184,0.11497
2.060282,0.115007
2.06238,0.115106
2.069253,0.115234
2.067822,0.115223
2.07333,0.115393
2.084875,0.115651
2.080727,0.115692
2.075225,0.115644
2.085525,0.115836
2.084363,0.115842
2.077168,0.115823
2.083659,0.116008
2.09502,0.116136
2.092546,0.116194
2.09462,0.116306
2.099884,0.116448
2.100742,0.116492
2.095979,0.116495
2.101606,0.116702
2.104878,0.11669
2.105021,0.116781
2.108598,0.116911
2.125287,0.117316
2.120298,0.117132
2.115995,0.117374
2.125359,0.117525
2.123696,0.117606
2.11913,0.11757
2.121997,0.117716
2.131152,0.117906
2.123863,0.11782
2.119118,0.117784
2.124184,0.118002
2.119154,0.117818
2.113378,0.117749
2.120125,0.118005
2.128643,0.118028
2.122259,0.117995
2.129227,0.118156
2.133083,0.118257
2.129692,0.118185
2.134609,0.118265
2.150708,0.118534
2.157539,0.118663
