POSN mm ,LOAD kn,STRAIN1 mm,STRESS(MPA),TIME(sec)
-54.296066,0.080216,0.010051,-1.021341,2.36
-54.295775,0.080335,0.010124,-1.022859,2.37
-54.296043,0.074172,0.009963,-0.944387,2.38
-54.29796,0.084937,0.010272,-1.081447,2.39
-54.296466,0.07863,0.010175,-1.001154,2.4
-54.297238,0.081754,0.010112,-1.040921,2.41
-54.296289,0.085294,0.010404,-1.086,2.42
-54.29563,0.078225,0.010422,-0.995993,2.43
-54.298628,0.085413,0.010673,-1.087518,2.44
-54.297765,0.088125,0.01085,-1.122048,2.45
-54.298805,0.083399,0.01086,-1.061867,2.46
-54.299377,0.091791,0.010961,-1.168721,2.47
-54.298083,0.083178,0.010985,-1.059059,2.48
-54.29781,0.08719,0.010956,-1.110133,2.49
-54.296715,0.091869,0.011113,-1.169708,2.5
-54.297351,0.0817,0.010959,-1.040238,2.51
-54.297342,0.091159,0.01119,-1.160677,2.52
-54.297156,0.092793,0.011364,-1.181471,2.53
-54.297583,0.087249,0.011368,-1.110892,2.54
-54.298496,0.095874,0.011427,-1.220707,2.55
-54.29761,0.091988,0.011512,-1.171226,2.56
-54.298891,0.093007,0.011698,-1.184203,2.57
-54.299345,0.102371,0.011926,-1.303428,2.58
-54.298914,0.093603,0.011913,-1.191792,2.59
-54.300376,0.100046,0.012093,-1.27383,2.6
-54.299459,0.100499,0.012058,-1.279598,2.61
-54.298764,0.094509,0.012001,-1.203328,2.62
-54.300281,0.103348,0.012337,-1.315874,2.63
-54.297974,0.10047,0.012167,-1.279219,2.64
-54.29959,0.101423,0.012253,-1.291361,2.65
-54.298678,0.107366,0.012373,-1.367024,2.66
-54.299463,0.098616,0.012407,-1.255616,2.67
-54.298387,0.10677,0.012532,-1.359435,2.68
-54.301507,0.109154,0.012778,-1.389792,2.69
-54.299945,0.101751,0.01282,-1.295535,2.7
-54.299227,0.11484,0.013056,-1.462192,2.71
-54.299404,0.112498,0.013314,-1.432367,2.72
-54.298841,0.112468,0.013341,-1.431987,2.73
-54.300072,0.120687,0.013552,-1.536641,2.74
-54.300117,0.112569,0.013527,-1.433277,2.75
-54.300467,0.115377,0.013475,-1.469022,2.76
-54.300658,0.116539,0.013535,-1.483821,2.77
-54.299822,0.111634,0.013535,-1.421362,2.78
-54.300185,0.11934,0.0137,-1.519489,2.79
-54.300417,0.116497,0.0136,-1.483289,2.8
-54.300699,0.112498,0.013629,-1.432367,2.81
-54.301185,0.123942,0.013927,-1.578077,2.82
-54.301226,0.113231,0.013887,-1.441701,2.83
-54.301425,0.116652,0.013886,-1.485263,2.84
-54.301412,0.122768,0.014051,-1.563127,2.85
-54.302216,0.115514,0.014147,-1.470767,2.86
-54.302007,0.124997,0.014149,-1.59151,2.87
-54.302747,0.124335,0.014413,-1.583086,2.88
-54.300749,0.124896,0.014468,-1.59022,2.89
-54.302238,0.133753,0.014822,-1.702994,2.9
-54.301126,0.129789,0.014982,-1.652526,2.91
-54.301439,0.135338,0.015002,-1.723181,2.92
-54.30138,0.135028,0.015168,-1.719235,2.93
-54.301889,0.130278,0.015226,-1.658749,2.94
-54.303092,0.137633,0.015305,-1.752399,2.95
-54.302157,0.136268,0.015433,-1.73502,2.96
-54.304028,0.135738,0.015387,-1.728266,2.97
-54.302084,0.14227,0.015447,-1.811442,2.98
-54.302129,0.134754,0.015558,-1.715744,2.99
-54.301902,0.138724,0.0157,-1.766287,3
-54.302406,0.144273,0.015863,-1.836941,3.01
-54.301761,0.136775,0.015879,-1.741471,3.02
-54.30564,0.149012,0.016021,-1.897275,3.03
-54.303015,0.144941,0.016105,-1.845441,3.04
-54.302597,0.141627,0.016017,-1.803246,3.05
-54.30356,0.147766,0.016249,-1.881414,3.06
-54.302733,0.141096,0.016301,-1.796492,3.07
-54.305599,0.146657,0.016317,-1.867298,3.08
-54.303737,0.154531,0.016423,-1.96755,3.09
-54.303083,0.144905,0.016476,-1.844986,3.1
-54.305736,0.15673,0.016606,-1.995554,3.11
-54.304001,0.152904,0.016782,-1.946832,3.12
-54.303778,0.149888,0.016796,-1.908431,3.13
-54.304882,0.160068,0.016993,-2.038053,3.14
-54.302833,0.153387,0.017022,-1.952979,3.15
-54.303465,0.156927,0.017256,-1.998058,3.16
-54.304832,0.163931,0.017415,-2.08723,3.17
-54.304528,0.156605,0.017296,-1.99396,3.18
-54.305745,0.163066,0.017583,-2.076226,3.19
-54.304668,0.162429,0.017613,-2.068105,3.2
-54.305095,0.156695,0.017551,-1.995098,3.21
-54.304532,0.164807,0.017637,-2.098386,3.22
-54.303569,0.158143,0.017679,-2.01354,3.23
-54.305263,0.15862,0.017599,-2.019611,3.24
-54.306708,0.1679,0.017781,-2.137773,3.25
-54.30416,0.160611,0.017803,-2.044959,3.26
-54.305863,0.166208,0.017892,-2.11622,3.27
-54.306253,0.167704,0.018093,-2.135269,3.28
-54.304391,0.164324,0.018064,-2.092239,3.29
-54.306508,0.177693,0.018123,-2.262462,3.3
-54.304927,0.17274,0.018335,-2.199397,3.31
-54.306108,0.173682,0.018414,-2.211388,3.32
-54.307734,0.180751,0.018653,-2.301394,3.33
-54.306203,0.173318,0.0188,-2.206758,3.34
-54.307339,0.183976,0.01885,-2.342451,3.35
-54.305636,0.182003,0.019065,-2.317331,3.36
-54.30564,0.178093,0.019058,-2.267547,3.37
-54.307148,0.188226,0.01924,-2.396562,3.38
-54.305826,0.185227,0.019399,-2.358388,3.39
-54.307207,0.18633,0.019361,-2.372428,3.4
-54.308529,0.192368,0.019625,-2.449306,3.41
-54.306853,0.186342,0.019532,-2.37258,3.42
-54.30718,0.189656,0.019669,-2.414775,3.43
-54.305967,0.192422,0.019795,-2.449989,3.44
-54.306612,0.185931,0.019842,-2.367344,3.45
-54.308511,0.198817,0.019943,-2.53142,3.46
-54.307907,0.195909,0.020167,-2.494385,3.47
-54.308552,0.196522,0.020122,-2.502202,3.48
-54.309533,0.206739,0.020409,-2.632279,3.49
-54.308297,0.197321,0.020342,-2.512371,3.5
-54.310382,0.205892,0.020466,-2.621502,3.51
-54.308197,0.20681,0.020608,-2.63319,3.52
-54.305627,0.197983,0.020595,-2.520795,3.53
-54.30991,0.207233,0.020715,-2.638578,3.54
-54.30713,0.205255,0.020709,-2.613382,3.55
-54.307875,0.201648,0.020619,-2.567468,3.56
-54.309401,0.208855,0.020885,-2.65922,3.57
-54.307207,0.197148,0.020754,-2.51017,3.58
-54.308461,0.204706,0.020877,-2.6064,3.59
-54.308742,0.210029,0.020943,-2.674171,3.6
-54.30862,0.204825,0.021002,-2.607918,3.61
-54.308938,0.209129,0.021108,-2.662711,3.62
-54.308779,0.2105,0.02116,-2.680166,3.63
-54.308261,0.209457,0.021146,-2.666885,3.64
-54.309469,0.216001,0.02134,-2.750214,3.65
-54.308838,0.207835,0.021445,-2.646243,3.66
-54.309201,0.219226,0.021608,-2.791271,3.67
-54.308574,0.22223,0.021806,-2.82952,3.68
-54.308697,0.218499,0.021834,-2.782012,3.69
-54.312489,0.229907,0.022079,-2.927267,3.7
-54.309637,0.227946,0.022188,-2.902299,3.71
-54.310228,0.225973,0.022234,-2.877179,3.72
-54.309033,0.237817,0.022496,-3.027975,3.73
-54.308969,0.228775,0.02254,-2.912848,3.74
-54.310791,0.233287,0.022602,-2.970297,3.75
-54.312085,0.232786,0.022723,-2.963923,3.76
-54.308047,0.227726,0.022637,-2.899491,3.77
-54.311272,0.235099,0.022677,-2.993368,3.78
-54.309555,0.2334,0.022812,-2.971739,3.79
-54.310514,0.230104,0.022799,-2.929772,3.8
-54.31174,0.239313,0.023063,-3.047023,3.81
-54.309006,0.230265,0.0229,-2.931821,3.82
-54.313271,0.237375,0.023014,-3.022359,3.83
-54.310982,0.241125,0.023162,-3.070094,3.84
-54.310623,0.236928,0.02328,-3.016667,3.85
-54.314274,0.248533,0.02342,-3.164427,3.86
-54.312144,0.241578,0.023535,-3.075862,3.87
-54.30931,0.241768,0.023453,-3.07829,3.88
-54.313439,0.252843,0.023808,-3.219296,3.89
-54.309746,0.246513,0.023887,-3.1387,3.9
-54.311299,0.251186,0.023925,-3.198198,3.91
-54.313411,0.256121,0.02409,-3.261036,3.92
-54.311209,0.246906,0.02404,-3.143708,3.93
-54.313652,0.256366,0.024162,-3.264147,3.94
-54.313044,0.252974,0.024164,-3.220965,3.95
-54.312435,0.248522,0.024169,-3.164275,3.96
-54.312126,0.259268,0.024278,-3.301106,3.97
-54.31204,0.252408,0.024278,-3.213756,3.98
