LOAD kn,STRAIN1 mm
-0.057143,-0.002582
-0.048596,-0.002433
-0.059289,-0.00288
-0.055009,-0.002951
-0.059611,-0.003196
-0.061631,-0.003328
-0.068164,-0.003814
-0.068599,-0.00396
-0.067073,-0.004088
-0.071383,-0.004427
-0.069308,-0.004389
-0.075454,-0.004457
-0.066584,-0.004638
-0.076264,-0.0049
-0.065863,-0.004833
-0.074416,-0.004978
-0.067657,-0.004869
-0.073737,-0.004938
-0.068837,-0.004925
-0.069761,-0.005199
-0.073421,-0.00516
-0.073403,-0.005444
-0.07841,-0.005618
-0.074935,-0.005774
-0.085783,-0.006153
-0.075477,-0.006135
-0.081646,-0.006278
-0.077337,-0.006119
-0.083363,-0.006194
-0.076789,-0.006166
-0.077659,-0.0063
-0.081319,-0.006387
-0.081044,-0.006487
-0.087166,-0.006558
-0.079018,-0.006706
-0.089729,-0.006831
-0.082004,-0.00684
-0.090909,-0.007206
-0.08229,-0.007098
-0.087786,-0.007371
-0.081009,-0.007354
-0.088251,-0.00749
-0.087875,-0.007592
-0.085849,-0.007751
-0.092459,-0.007759
-0.08713,-0.007794
-0.091463,-0.007831
-0.08325,-0.007686
-0.092244,-0.008013
-0.086552,-0.007975
-0.096285,-0.008087
-0.090742,-0.008228
-0.099492,-0.008513
-0.100613,-0.008507
-0.099468,-0.008691
-0.097227,-0.008808
-0.096154,-0.008721
-0.099766,-0.008929
-0.095803,-0.008948
-0.103378,-0.009107
-0.095606,-0.009144
-0.104719,-0.009217
-0.096953,-0.00921
-0.10438,-0.00942
-0.09973,-0.00942
-0.105321,-0.009385
-0.10075,-0.009605
-0.105339,-0.009759
-0.105375,-0.009843
-0.105411,-0.009921
-0.11217,-0.009912
-0.101668,-0.009975
-0.117618,-0.010116
-0.103718,-0.010177
-0.110942,-0.010453
-0.105619,-0.010335
-0.113493,-0.01059
-0.11031,-0.010568
-0.110644,-0.010567
-0.112665,-0.010764
-0.111604,-0.010896
-0.120026,-0.010822
-0.114298,-0.011052
-0.126177,-0.011395
-0.118035,-0.01142
-0.131029,-0.011803
-0.124317,-0.011817
-0.1315,-0.012036
-0.12666,-0.012113
-0.130284,-0.012219
-0.12539,-0.012232
-0.126827,-0.01219
-0.130969,-0.012486
-0.127995,-0.012566
-0.13513,-0.012696
-0.128144,-0.012598
-0.138241,-0.012784
-0.12961,-0.012958
-0.140196,-0.01306
-0.13417,-0.013181
-0.143719,-0.013377
-0.139546,-0.013387
-0.142443,-0.01364
-0.14497,-0.013736
-0.141793,-0.013773
-0.146073,-0.013909
-0.138468,-0.013867
-0.148284,-0.014061
-0.137615,-0.013998
-0.149983,-0.013997
-0.139296,-0.013936
-0.148612,-0.014147
-0.138634,-0.014059
-0.148141,-0.014171
-0.147015,-0.014374
-0.148386,-0.014424
-0.148875,-0.014448
-0.147337,-0.014664
-0.157452,-0.014578
-0.15083,-0.014802
-0.165778,-0.015103
-0.160992,-0.015393
-0.169307,-0.015746
-0.161666,-0.015676
-0.169283,-0.01575
-0.165707,-0.015818
-0.166923,-0.015911
-0.168997,-0.016033
-0.166905,-0.016102
-0.168335,-0.016184
-0.163728,-0.016066
-0.170624,-0.016165
-0.163114,-0.016149
-0.174004,-0.016195
-0.165546,-0.016234
-0.176495,-0.01657
-0.170457,-0.016458
-0.176263,-0.0167
-0.174797,-0.016815
-0.179541,-0.017074
-0.18186,-0.017002
-0.178069,-0.017183
-0.185001,-0.017233
-0.181782,-0.017254
-0.1912,-0.017576
-0.18059,-0.017495
-0.189519,-0.017768
-0.185019,-0.017691
-0.192016,-0.017772
-0.187647,-0.017861
-0.193852,-0.018021
-0.192428,-0.018229
-0.195807,-0.018343
-0.198478,-0.018511
-0.195253,-0.018445
-0.203496,-0.018793
-0.194478,-0.01856
-0.206363,-0.018807
-0.19716,-0.018793
-0.209939,-0.019151
-0.20017,-0.019093
-0.206304,-0.01918
-0.205481,-0.01929
-0.208622,-0.019232
-0.210619,-0.019467
-0.208586,-0.019552
-0.213677,-0.019599
-0.207114,-0.019493
-0.218368,-0.019677
-0.210327,-0.019678
-0.219935,-0.019977
-0.212258,-0.019888
-0.221217,-0.020163
-0.216782,-0.020046
-0.223249,-0.020167
-0.217295,-0.020139
-0.221413,-0.020357
-0.223488,-0.020415
-0.220948,-0.020372
-0.231212,-0.02073
-0.224,-0.020681
-0.235677,-0.021035
-0.229359,-0.020995
-0.23542,-0.021245
-0.230974,-0.021242
-0.237149,-0.021293
-0.233817,-0.021271
-0.235963,-0.021406
-0.237668,-0.021398
-0.233483,-0.021589
-0.243258,-0.021682
-0.238025,-0.021723
-0.248438,-0.0219
-0.238299,-0.02192
-0.248611,-0.022043
-0.239623,-0.021964
-0.247735,-0.022075
-0.241435,-0.022095
-0.251108,-0.022264
-0.250387,-0.022314
-0.249898,-0.022545
-0.253779,-0.022533
-0.251186,-0.02257
-0.258112,-0.022795
-0.251418,-0.022681
-0.263196,-0.022843
-0.254613,-0.022894
-0.264043,-0.023075
-0.258571,-0.023084
-0.26347,-0.023291
-0.26288,-0.023357
-0.265574,-0.023447
-0.267804,-0.023587
-0.269753,-0.023644
-0.274938,-0.023811
-0.271672,-0.024025
-0.285202,-0.024269
-0.275075,-0.024406
-0.288725,-0.024607
-0.279099,-0.024572
-0.286597,-0.02468
-0.282967,-0.024667
-0.285715,-0.024892
-0.28522,-0.024663
-0.283283,-0.024815
-0.283349,-0.02483
-0.28109,-0.024886
-0.28711,-0.024952
-0.278687,-0.024888
-0.288659,-0.025106
-0.279766,-0.025024
-0.293088,-0.02521
-0.286084,-0.025196
-0.294292,-0.02537
-0.293827,-0.025348
