LOAD kn,STRAIN1 mm
-0.019664,-0.026026
-0.016016,-0.0262
-0.010544,-0.026218
-0.019222,-0.026365
-0.019765,-0.026455
-0.013375,-0.026365
-0.015867,-0.026551
-0.022238,-0.026614
-0.012732,-0.026646
-0.009751,-0.026564
-0.017333,-0.026667
-0.019079,-0.026701
-0.011998,-0.026852
-0.018346,-0.027076
-0.023544,-0.027321
-0.01784,-0.027293
-0.01334,-0.027301
-0.020176,-0.027454
-0.019825,-0.027521
-0.012553,-0.027473
-0.018585,-0.027519
-0.020885,-0.027745
-0.017554,-0.02769
-0.0193,-0.027902
-0.02619,-0.028112
-0.021064,-0.028266
-0.019193,-0.02821
-0.024456,-0.028418
-0.023729,-0.028447
-0.019473,-0.028433
-0.021398,-0.028524
-0.026268,-0.028718
-0.019127,-0.028749
-0.017816,-0.029028
-0.027025,-0.029086
-0.024432,-0.029133
-0.017256,-0.029185
-0.024664,-0.029546
-0.026703,-0.029665
-0.021434,-0.029688
-0.024718,-0.029715
-0.031346,-0.029898
-0.022036,-0.03004
-0.021911,-0.03001
-0.028688,-0.030158
-0.028348,-0.030141
-0.021702,-0.030398
-0.027424,-0.030545
-0.031734,-0.030602
-0.024313,-0.030437
-0.023496,-0.030658
-0.030965,-0.030859
-0.029427,-0.030826
-0.02259,-0.031014
-0.030822,-0.031163
-0.033635,-0.03128
-0.025415,-0.03123
-0.028503,-0.031346
-0.036454,-0.031445
-0.026017,-0.031352
-0.02771,-0.031313
-0.03224,-0.031426
-0.033683,-0.031441
-0.024474,-0.031433
-0.029689,-0.031539
-0.035322,-0.03151
-0.027466,-0.031592
-0.026852,-0.031716
-0.035959,-0.031885
-0.030357,-0.032028
-0.027031,-0.03221
-0.036383,-0.032491
-0.039649,-0.032599
-0.030011,-0.032798
-0.035864,-0.033118
-0.039268,-0.033097
-0.031018,-0.033013
-0.032508,-0.033148
-0.036073,-0.033247
-0.036252,-0.033186
-0.028384,-0.03318
-0.038916,-0.033322
-0.0368,-0.033374
-0.030649,-0.033361
-0.029927,-0.033359
-0.036687,-0.033547
-0.035685,-0.033483
-0.031531,-0.033537
-0.038832,-0.033883
-0.035411,-0.03382
-0.033033,-0.03402
-0.037873,-0.03419
-0.040352,-0.034385
-0.036043,-0.034699
-0.039184,-0.034941
-0.048834,-0.035287
-0.042647,-0.035311
-0.037736,-0.035425
-0.042611,-0.035371
-0.042725,-0.035398
-0.036418,-0.035338
-0.036871,-0.035437
-0.043237,-0.03549
-0.038743,-0.035555
-0.032562,-0.035443
-0.043398,-0.035634
-0.040913,-0.035629
-0.030249,-0.035588
-0.04077,-0.035726
-0.044245,-0.035896
-0.036079,-0.035833
-0.038904,-0.035909
-0.046051,-0.036067
-0.042373,-0.036101
-0.040215,-0.036285
-0.048184,-0.036626
-0.051337,-0.036836
-0.043315,-0.036915
-0.044996,-0.037026
-0.048226,-0.037209
-0.045848,-0.037299
-0.045872,-0.037522
-0.054568,-0.037705
-0.050825,-0.037699
-0.045007,-0.03776
-0.050396,-0.037951
-0.054586,-0.038058
-0.045764,-0.03826
-0.05129,-0.038452
-0.055271,-0.03863
-0.051832,-0.038651
-0.046206,-0.038539
-0.053596,-0.038652
-0.051415,-0.038556
-0.04639,-0.038653
-0.049204,-0.038857
-0.05523,-0.038814
-0.047123,-0.038835
-0.047588,-0.038826
-0.05272,-0.039079
-0.049847,-0.03904
-0.046539,-0.039015
-0.054294,-0.039314
-0.055861,-0.039436
-0.053912,-0.039709
-0.055063,-0.039937
-0.064945,-0.04035
-0.058836,-0.04034
-0.052351,-0.04029
-0.058031,-0.040399
-0.060737,-0.040439
-0.051671,-0.040434
-0.054866,-0.040639
-0.063586,-0.040576
-0.054514,-0.040536
-0.051659,-0.040558
-0.058699,-0.040606
-0.059575,-0.040723
-0.051963,-0.040634
-0.059503,-0.04085
-0.064635,-0.040991
-0.05402,-0.041045
-0.057423,-0.041083
-0.064892,-0.041378
-0.061166,-0.041264
-0.057715,-0.041308
-0.065881,-0.041692
-0.064766,-0.041616
-0.057733,-0.041614
-0.067526,-0.041807
-0.071704,-0.042075
-0.064868,-0.042043
-0.066382,-0.042341
-0.072205,-0.042432
-0.068939,-0.042298
-0.061953,-0.042473
-0.068659,-0.04253
-0.071013,-0.04271
-0.064951,-0.042583
-0.070459,-0.042915
-0.078106,-0.043052
-0.068951,-0.043248
-0.070006,-0.043132
-0.077176,-0.043387
-0.078619,-0.043439
-0.072753,-0.043594
-0.075746,-0.043863
-0.080407,-0.044048
-0.075042,-0.044208
-0.074947,-0.044283
-0.085479,-0.044414
-0.080264,-0.044499
-0.075781,-0.044416
-0.080943,-0.044583
-0.082624,-0.044605
-0.073874,-0.044542
-0.07689,-0.04468
-0.085032,-0.04476
-0.079715,-0.04472
-0.075275,-0.044789
-0.083089,-0.044859
-0.085151,-0.044923
-0.077248,-0.04488
-0.084537,-0.045126
-0.086999,-0.045225
-0.079697,-0.045344
-0.08691,-0.045606
-0.094557,-0.045851
-0.090903,-0.045826
-0.088364,-0.046067
-0.095546,-0.046321
-0.095952,-0.046463
-0.09011,-0.046488
